morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
tunnga,tunga,1,v,i,e,,,,suk/1vv,,,"to be at home, at ease with one's surroundings","se sentir chez soi, être à l'aise avec ses alentours",,,,.
tunnuq,,1,n,,,,,,,,,back fat,gras du dos,,,,.
tunu,,1,n,,ana,,,,,,,the back or rear of something,la partie arrière de qqch.,,,,.
tununiq,,1,n,,,,,,,,,shadow side,,,,,
tupaq,,1,v,t,,,,,,,si/1vv,[-R]to /awaken s.o. [R]to wake up,/réveiller qqn,,,,.
tupiq,,1,v,t,,,,,,,si/1vv,[T]to put s.o.'s tent up [P]to have one's tent put up [R]to put one's own tent up,[T]monter la tente de qqn[P]avoir sa tente montée par quelqu'un[R]monter sa tente,,,,.
tupiq,,1,n,,,,,,,,,tent,tente,,,,.
tupit,,1,v,i,,,,,,,,to choke from food in the throat,s'étouffer avec de la nourriture,,,,.
tupkujaq,,1,n,,ana,,,,,,,exterior throat,gorge extérieure,,,,.
tuputaq,,1,n,,,,,,,,,wound plug,tampon pour blessure,,,,.
tuqaluk,,1,v,i,,,,,,,,"to be coming down and hitting the ground, like rain, snow, sleet, etc.","tomber, toucher le sol (pluie, neige, etc.)",,,,.
tuqaluk,,1,n,,,,,,,,,rain,,,,,
tuqqik,,1,v,i,a,,,,,,,to lie firmly or flat upon one's base,reposer fermement ou à plat sur sa base,,,,.
tuqquq,,1,v,t,,,,,,,si/1vv,to /put or /stow s.t. away out of sight,"/mettre, /ranger qqch. hors de vue",,,,.
tuqu,,1,v,i,,,,,,,,to die,mourir,,,,.
tuqu,,1,n,,,,,,,,,death,mort,,,,.
tur&uk,,1,v,i,,,,,,nil,,to call someone by his name of blood-relationship,appeler qqn par son nom de lien de parenté,,,,.
tur&uk,,1,n,,ana,,,,,,,trachea,trachée,,,,.
turaaq,,1,v,t,,,,,,,si/1vv,[-R]to /aim at s.t. in a straight line,,,,,
turiat,,1,v,i,,,,,,,,to hurt one's big toe,,,,,
turru,,1,v,i,a,,,,,,,to be long-haired or thick-haired or thick-napped,avoir les cheveux longs ou épais,,,,.
tursuuk,,1,n,,,,,,,,,place of entry or exit,,,,,
tusaq,,1,v,i,,,,,,nil,,to hear (trans.: something),entendre (trans.: qqch.),,,,.
tusiat,,1,v,i,,,,,,,,to limp,boiter,,,,.
tusuu,,1,v,i,,,,,,gi/4vv,,to be jealous or envious of someone about something,envier qqn de qqch.,,,,.
tusuu,tusuuk,1,e,,,,,,,,,exclamation of jealousy or covetousness,exclamation de jalousie ou de convoitise,,,,.
tut,,1,v,i,,,,,,,,to hit or land on something,,,,,
tutaq,,1,n,,,,,,,,,(1) side of the jaw (2) seam on either side of the neck of a skin garment,(1) intérieur de la machoire (2) couture chaque côté de l'encolure d'un vêtement de peau,,,,.
tuti,,1,v,i,,,,,,nil,,to step on something,marcher sur qqch.,,,,.
tutik,,1,v,i,,,,,,,,"to lie together, not necessarily for sexual relations (used in the dual or plural)","être couchés ensemble, pas nécessairement pour une relation sexuelle (utilisé au duel et au pluriel)",,,,.
tuukkaq,,1,n,,,,,,,,,harpoon head for walrus with double blade,tête de harpon à morse à double lame,,,,.
tuullik,,1,n,,zoo,,,,,,,great northern diver or common loon,canard huart,,,,.
tuuq,,1,v,t,,,,,,,si/1vv,to /poke s.t. head-on with a rigid object,/donner-à qqch. un coup direct avec un objet rigide,,,,.
tuuq,,1,n,,,,,,,,,long-handled ice chisel,ciseau à glace à long manche,,,,.
tuurngi,,1,v,i,,,,,,,,to invoke spirits,invoquer les esprits,,,,.
tuvaq,,1,v,i,,,,,,,,to break off in part - said of the solid sea ice,se briser en morceaux (glace de mer),,,,.
tuvaq,,1,n,,,,,,,,,solid sea ice touching up against the land,glace de mer solide touchant au rivage,,,,.
ua,,1,v,i,,,,,,,,to move [Padl.],bouger [Padl.],,,,.
uangnaq,uangniq,1,v,i,,,,,,,,to blow due north-west - said of the wind,souffler franc nord-ouest (vent),,,,.
uangnaq,uangniq,1,n,,,,,,,,,the north-west,le nord-ouest,,,,.
uaq,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,"to be amazed, astonished by something",être étonné par qqch.,,,,.
uaq,,1,e,,,,,,,,,"expression of amazement: ""My!"" ""My goodness!"" [WCHB",,,,,
uasaq,,1,v,i,,,,,,nil,,to wash (trans.: something),laver (trans.: qqch.),,,,.
uattiaq,,1,a,,,,,,,,,a little while ago,il y a quelque temps,,,,.
uattiaruk,,1,a,,,,,,,,,in a little while,dans quelque temps,,,,.
ublaaq,,1,n,,,,,,,,,morning,,,,,
ublu,,1,n,,,,,,,,,bird's nest,nid d'oiseau,,,,.
ubluq,,1,n,,,,,,,,,day,"jour, journée",,,,.
ubluriaq,,1,n,,,,,,,,,star,étoile,,,,.
ugarsiq,,1,v,i,,,,,,,,to have severe headaches,avoir de vilains maux de tête,,,,.
ugguaq,,1,v,i,e,,,,,gi/4vv,,to deeply regret something,regretter profondément qqch.,,,,.
ugiaq,,1,v,i,,,,,,nil,,to bite (trans.: at someone) with anger - said of a quadruped,mordre (trans.: qqn) avec colère (quadrupède),,,,.
ugjuk,,1,n,,zoo,,,,,,,bearded seal,,,,,
uglaq,,1,v,i,,,,,,nil,,to visit (trans.: someone),visiter (trans.: qqn),,,,.
ugliq,,1,n,,,,,,,,,walrus nest,endroit où vit le morse,,,,.
ui,uik,1,n,,,,,,,,,husband,époux,,,,.
uiguq,,1,v,t,,,,,,,i/1vv,"[-R]to /lengthen s.t. by addition, by joining section",[-R]/allonger qqch. par addition,,,,.
uima,uimaq,1,v,i,a,,,,,,,(1) to be excited,,,,,
uiqimait,,1,v,i,a,,,,,,,to be heavy,être lourd,,,,.
uirit,,1,v,i,,,,,,,,to get the habit of doing s.t.,,,,,
uirngaq,,1,v,i,a,,,,,,,to be sleepy or drowsy,"avoir sommeil, être somnolent",,,,.
uirngaq,,1,v,i,a,,,,,,,"to be sleepy, drowsy",avoir sommeil,,,,
uirniq,uirnaq,1,n,,,,,,,,,extreme front of the sled,extrémité avant du traîneau,,,,.
uit,,1,v,i,,,,,,,,to open one's eyes,ouvrir les yeux,,,,.
uivaq,,1,v,i,,,,,,nil,,to take the long way to get (trans.: something),prendre un chemin détourné (trans.: pour arriver à qqch.),,,,
uiviri,,1,v,t,,,,,,,tsi/1vv,to /deceive or /dupe s.o.,/tromper ou /duper qqn,,,,.
